Id,SalePrice
1461,126984.85245337071
1462,158260.36504072594
1463,182676.27611040324
1464,190776.06167476717
1465,182630.98922553204
1466,173561.846216605
1467,179473.0224551485
1468,166399.40844583063
1469,190034.04457399048
1470,121900.96364571198
1471,191628.92280979233
1472,98154.88656250438
1473,94462.83762868552
1474,150082.16189375834
1475,126546.03921860168
1476,380109.40343394445
1477,259519.1571816565
1478,283709.4778551078
1479,286958.246593351
1480,463351.1262760689
1481,325738.69442127954
1482,204546.28042171
1483,168056.89961335427
1484,162751.42853462172
1485,179012.1649123581
1486,192309.81861396183
1487,351690.94237624767
1488,239629.42991386753
1489,204355.68138938487
1490,222516.38895969704
1491,191112.13810000243
1492,90766.83692488403
1493,174430.98180032213
1494,284800.39479625673
1495,291939.5264688886
1496,234040.4416440756
1497,184270.34667196148
1498,155431.58480141975
1499,158649.83695682517
1500,146134.78957605409
1501,171381.278600122
1502,144282.3419005561
1503,302421.95625983475
1504,241510.60616082215
1505,228700.60266865604
1506,188199.72802677192
1507,236148.85166065925
1508,208298.44771465776
1509,156143.9686276686
1510,148034.967440013
1511,146723.29295230168
1512,176668.00843048425
1513,152717.11273872587
1514,162549.57776064402
1515,179914.91414055086
1516,151005.86824286586
1517,165196.37759548155
1518,135810.76580787255
1519,217136.00192653533
1520,134711.26991896477
1521,136137.42373883296
1522,184684.42764964924
1523,109349.14894274883
1524,126165.7780480571
1525,125670.67431575169
1526,122659.68327716508
1527,108857.51801483842
1528,125591.71265516146
1529,148452.200741037
1530,172313.1424004702
1531,108967.68603433645
1532,101592.14938804715
1533,149663.2917679386
1534,120901.2767101201
1535,145037.63772214085
1536,113646.04243713485
1537,77411.27061121768
1538,144435.6210677015
1539,201283.5011643456
1540,95432.09450414998
1541,138983.18894022872
1542,136576.93778202304
1543,193755.99589076394
1544,85732.9569934507
1545,115133.54466771934
1546,133834.39404858853
1547,135964.2764687351
1548,140666.99010912282
1549,110573.1039865028
1550,143250.24704053896
1551,116642.8285266707
1552,138224.105964452
1553,146677.52037237294
1554,116297.81778605453
1555,166331.3651441516
1556,86569.9414448344
1557,104916.2702845209
1558,93929.29272721059
1559,78510.85774385909
1560,143015.0535943923
1561,131680.10416372152
1562,128175.92260450288
1563,125211.54852271496
1564,155144.97102151526
1565,147321.87725649728
1566,250710.48611131424
1567,74587.8730180357
1568,227297.2050205138
1569,137168.3147294785
1570,139882.741907079
1571,115100.77417513866
1572,144236.47260603556
1573,237175.18665574605
1574,116954.24053559444
1575,223550.6571832524
1576,233895.53129462127
1577,188555.3465368161
1578,145231.33277110846
1579,142843.8518942009
1580,194068.40082368098
1581,154907.9800240305
1582,128137.90522815369
1583,310434.84881118545
1584,223168.22563439512
1585,139977.54965660092
1586,67846.22595470703
1587,106725.74457434204
1588,150518.06793669067
1589,93925.21203688456
1590,137830.9157219918
1591,94419.48663750727
1592,104738.96481969913
1593,130804.16291077927
1594,142327.56824240123
1595,112407.9667529276
1596,239216.0888500975
1597,180437.66694253034
1598,212973.6205467794
1599,177075.06752575503
1600,171042.82762078688
1601,68035.3267558503
1602,117045.86248801698
1603,74903.60936828142
1604,263642.38556432154
1605,256344.88966876495
1606,175490.61891270807
1607,179192.78107113935
1608,219430.12234764293
1609,191625.44577377848
1610,151537.55433710205
1611,138780.3186637266
1612,164627.64954083465
1613,162017.30518399758
1614,134890.15388239062
1615,91354.5969783098
1616,74255.85421738973
1617,93666.81160266502
1618,120275.36481298128
1619,141801.68076587978
1620,155621.26174324393
1621,130892.27397481487
1622,141017.49157803322
1623,292529.03777729097
1624,218504.9070428628
1625,126888.9515655462
1626,169380.90220815234
1627,189419.21519555396
1628,279769.75439433183
1629,178939.41081487073
1630,343016.83017443994
1631,226339.1608213524
1632,246265.49061684322
1633,167648.305129068
1634,188406.86098986003
1635,178595.007444134
1636,151278.00962171258
1637,201296.0096598756
1638,191811.94386190403
1639,177492.77277024684
1640,256889.68208341114
1641,173154.56147471681
1642,223377.89794620333
1643,230485.57633502124
1644,231607.26952950333
1645,194280.14867824732
1646,159638.8080467361
1647,156031.54985160276
1648,132273.38640541554
1649,143129.64532878806
1650,116476.7374819573
